id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
829705,2015,Kolkata,08-04-2015,League,M Morkel,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,169,20,N,NA,S Ravi,C Shamshuddin
829707,2015,Chennai,09-04-2015,League,A Nehra,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,runs,1,151,20,N,NA,RK Illingworth,VA Kulkarni
829709,2015,Pune,10-04-2015,League,JP Faulkner,Maharashtra Cricket Association Stadium,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,runs,26,163,20,N,NA,SD Fry,CB Gaffaney
829711,2015,Chennai,11-04-2015,League,BB McCullum,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Chennai Super Kings,runs,45,210,20,N,NA,RK Illingworth,VA Kulkarni
829713,2015,Kolkata,11-04-2015,League,CH Gayle,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,3,178,20,N,NA,S Ravi,C Shamshuddin
829715,2015,Delhi,12-04-2015,League,DJ Hooda,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,185,20,N,NA,SD Fry,CB Gaffaney
829717,2015,Mumbai,12-04-2015,League,GJ Bailey,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Kings XI Punjab,runs,18,178,20,N,NA,AK Chaudhary,K Srinivasan
829719,2015,Bangalore,13-04-2015,League,DA Warner,M Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8,167,20,N,NA,RM Deshpande,RK Illingworth
829721,2015,Ahmedabad,14-04-2015,League,SPD Smith,"Sardar Patel Stadium, Motera",Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,Rajasthan Royals,wickets,7,165,20,N,NA,AK Chaudhary,SD Fry
829725,2015,Pune,15-04-2015,League,MA Agarwal,Maharashtra Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils,wickets,5,166,20,N,NA,CB Gaffaney,K Srinath
829727,2015,Visakhapatnam,16-04-2015,League,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,6,128,20,N,NA,PG Pathak,S Ravi
829729,2015,Mumbai,17-04-2015,League,A Nehra,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,wickets,6,184,20,N,NA,AK Chaudhary,M Erasmus
829731,2015,Visakhapatnam,18-04-2015,League,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,bat,Delhi Daredevils,runs,4,168,20,N,NA,PG Pathak,S Ravi
829733,2015,Pune,18-04-2015,League,AD Russell,Maharashtra Cricket Association Stadium,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,4,156,20,N,NA,SD Fry,CK Nandan
829735,2015,Ahmedabad,19-04-2015,League,AM Rahane,"Sardar Patel Stadium, Motera",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,wickets,8,157,20,N,NA,AK Chaudhary,M Erasmus
829737,2015,Bangalore,19-04-2015,League,Harbhajan Singh,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Mumbai Indians,runs,18,210,20,N,NA,RK Illingworth,VA Kulkarni
829739,2015,Delhi,20-04-2015,League,UT Yadav,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6,147,20,N,NA,SD Fry,CB Gaffaney
829741,2015,Ahmedabad,21-04-2015,League,SE Marsh,"Sardar Patel Stadium, Motera",Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,tie,NA,192,20,Y,NA,M Erasmus,S Ravi
829743,2015,Visakhapatnam,22-04-2015,League,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,runs,16,118,12,N,D/L,RK Illingworth,VA Kulkarni
829745,2015,Bangalore,22-04-2015,League,SK Raina,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,field,Chennai Super Kings,runs,27,182,20,N,NA,JD Cloete,C Shamshuddin
829747,2015,Delhi,23-04-2015,League,SS Iyer,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,runs,37,191,20,N,NA,SD Fry,CK Nandan
829749,2015,Ahmedabad,24-04-2015,League,MA Starc,"Sardar Patel Stadium, Motera",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,9,131,20,N,NA,M Erasmus,S Ravi
829751,2015,Mumbai,25-04-2015,League,SL Malinga,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,20,158,20,N,NA,HDPK Dharmasena,CB Gaffaney
829753,2015,Chennai,25-04-2015,League,BB McCullum,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,runs,97,193,20,N,NA,JD Cloete,C Shamshuddin
829757,2015,Delhi,26-04-2015,League,VR Aaron,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,10,96,20,N,NA,M Erasmus,S Ravi
829759,2015,Chandigarh,27-04-2015,League,TA Boult,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Sunrisers Hyderabad,runs,20,151,20,N,NA,HDPK Dharmasena,CB Gaffaney
829765,2015,Chennai,28-04-2015,League,DJ Bravo,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,runs,2,135,20,N,NA,RM Deshpande,VA Kulkarni
829763,2015,Bangalore,29-04-2015,League,NA,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,NA,no result,NA,NA,NA,N,NA,JD Cloete,PG Pathak
829723,2015,Kolkata,30-04-2015,League,AD Russell,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,166,20,N,NA,AK Chaudhary,M Erasmus
829767,2015,Delhi,01-05-2015,League,NM Coulter-Nile,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,field,Delhi Daredevils,wickets,9,119,20,N,NA,RK Illingworth,S Ravi
829769,2015,Mumbai,01-05-2015,League,AT Rayudu,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,runs,8,188,20,N,NA,HDPK Dharmasena,CK Nandan
829771,2015,Bangalore,02-05-2015,League,Mandeep Singh,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,7,112,10,N,NA,JD Cloete,PG Pathak
829773,2015,Hyderabad,02-05-2015,League,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,runs,22,193,20,N,NA,AK Chaudhary,K Srinivasan
829775,2015,Chandigarh,03-05-2015,League,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,23,173,20,N,NA,RK Illingworth,VA Kulkarni
829777,2015,Mumbai,03-05-2015,League,AM Rahane,Brabourne Stadium,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals,runs,14,190,20,N,NA,HDPK Dharmasena,CB Gaffaney
829779,2015,Chennai,04-05-2015,League,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,runs,24,149,20,N,NA,C Shamshuddin,K Srinath
829781,2015,Kolkata,04-05-2015,League,UT Yadav,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,35,168,20,N,NA,AK Chaudhary,M Erasmus
829783,2015,Mumbai,05-05-2015,League,Harbhajan Singh,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,bat,Mumbai Indians,wickets,5,153,20,N,NA,HDPK Dharmasena,CB Gaffaney
